IRIS;COM;LAB_IRIS;P22_POP1564;P22_POP1524;P22_POP2554;P22_POP5564;P22_H1564;P22_H1524;P22_H2554;P22_H5564;P22_F1564;P22_F1524;P22_F2554;P22_F5564;P22_ACT1564;P22_ACT1524;P22_ACT2554;P22_ACT5564;P22_HACT1564;P22_HACT1524;P22_HACT2554;P22_HACT5564;P22_FACT1564;P22_FACT1524;P22_FACT2554;P22_FACT5564;P22_ACTOCC1564;P22_ACTOCC1524;P22_ACTOCC2554;P22_ACTOCC5564;P22_HACTOCC1564;P22_HACTOCC1524;P22_HACTOCC2554;P22_HACTOCC5564;P22_FACTOCC1564;P22_FACTOCC1524;P22_FACTOCC2554;P22_CHOM_CAPBEP;P22_FACTOCC5564;P22_CHOM_BAC;P22_CHOM1564;P22_CHOM_SUP2;P22_CHOM1524;P22_CHOM_SUP34;P22_CHOM2554;P22_CHOM_SUP5;P22_CHOM5564;P22_ACT_DIPLMIN;P22_CHOM_DIPLMIN;P22_ACT_BEPC;P22_CHOM_BEPC;P22_ACT_CAPBEP;P22_ACT_BAC;P22_ACT_SUP2;P22_ACT_SUP34;P22_ACT_SUP5;P22_INACT1564;P22_HINACT1564;P22_FINACT1564;P22_ETUD1564;P22_HETUD1564;P22_FETUD1564;P22_RETR1564;P22_HRETR1564;P22_FRETR1564;P22_AINACT1564;P22_HAINACT1564;P22_FAINACT1564;C22_ACT1564_STAT_GSEC11_21;C22_ACT1564_STAT_GSEC12_22;C22_ACT1564_STAT_GSEC13_23;C22_ACT1564_STAT_GSEC14_24;C22_ACT1564_STAT_GSEC15_25;C22_ACT1564_STAT_GSEC16_26;C22_ACTOCC1564;C22_ACTOCC1564_STAT_GSEC11;C22_ACTOCC1564_STAT_GSEC12;C22_ACTOCC1564_STAT_GSEC13;C22_ACTOCC1564_STAT_GSEC14;C22_ACTOCC1564_STAT_GSEC15;C22_ACTOCC1564_STAT_GSEC16;P22_ACTOCC15P;P22_HACTOCC15P;P22_FACTOCC15P;P22_SAL15P;P22_HSAL15P;P22_FSAL15P;P22_NSAL15P;P22_HNSAL15P;P22_FNSAL15P;P22_ACTOCC15P_TP;P22_SAL15P_TP;P22_HSAL15P_TP;P22_FSAL15P_TP;P22_NSAL15P_TP;P22_SAL15P_CDI;P22_SAL15P_CDD;P22_SAL15P_INTERIM;P22_SAL15P_EMPAID;P22_SAL15P_APPR;P22_NSAL15P_INDEP;P22_NSAL15P_EMPLOY;P22_NSAL15P_AIDFAM;P22_ACTOCC15P_ILT1;P22_ACTOCC15P_ILT2P;P22_ACTOCC15P_ILT2;P22_ACTOCC15P_ILT4;P22_ACTOCC15P_ILT5;C22_ACTOCC15P;C22_ACTOCC15P_PAS;C22_ACTOCC15P_MAR;C22_ACTOCC15P_VELO;C22_ACTOCC15P_2ROUESMOT;C22_ACTOCC15P_VOIT;C22_ACTOCC15P_TCOM
975010000;97501;5;373.000;38.000;236.000;99.000;191.000;20.000;122.000;49.000;182.000;18.000;114.000;50.000;300.000;22.000;223.000;55.000;161.000;14.000;119.000;28.000;139.000;8.000;104.000;27.000;279.000;17.000;210.000;52.000;154.000;10.000;117.000;27.000;125.000;7.000;93.000;5.000;25.000;6.000;21.000;1.000;5.000;3.000;13.000;1.000;3.000;44.000;4.000;16.000;1.000;118.000;69.000;18.000;17.000;18.000;73.000;30.000;43.000;16.000;6.000;10.000;26.000;19.000;7.000;31.000;5.000;26.000;6.000;18.000;14.000;66.000;104.000;92.000;279.000;6.000;18.000;14.000;62.000;98.000;81.000;287.000;158.000;129.000;253.000;145.000;108.000;34.000;13.000;21.000;36.000;31.000;12.000;19.000;5.000;209.000;44.000;0.000;0.000;0.000;11.000;23.000;0.000;258.000;29.000;29.000;0.000;0.000;287.000;11.000;54.000;7.000;2.000;210.000;3.000
975020101;97502;4;1600.000;200.000;1031.000;369.000;808.000;100.000;519.000;189.000;792.000;100.000;512.000;180.000;1350.000;97.000;994.000;259.000;696.000;50.000;506.000;140.000;654.000;47.000;488.000;119.000;1280.000;79.000;948.000;253.000;660.000;38.000;485.000;137.000;620.000;41.000;463.000;20.000;116.000;13.000;70.000;9.000;18.000;7.000;46.000;8.000;6.000;91.000;8.000;43.000;5.000;385.000;317.000;165.000;202.000;147.000;250.000;112.000;138.000;101.000;50.000;51.000;86.000;47.000;39.000;63.000;15.000;48.000;5.000;79.000;232.000;340.000;453.000;238.000;1280.000;4.000;77.000;228.000;326.000;430.000;215.000;1299.000;671.000;628.000;1168.000;588.000;580.000;131.000;83.000;48.000;142.000;128.000;32.000;96.000;14.000;967.000;199.000;0.000;1.000;1.000;60.000;69.000;2.000;1292.000;7.000;2.000;5.000;0.000;1299.000;55.000;434.000;45.000;7.000;757.000;1.000
975020102;97502;4;1802.000;213.000;1103.000;486.000;902.000;111.000;539.000;252.000;900.000;102.000;564.000;234.000;1435.000;76.000;1067.000;292.000;732.000;46.000;522.000;164.000;703.000;30.000;545.000;128.000;1389.000;67.000;1039.000;283.000;706.000;40.000;506.000;160.000;683.000;27.000;533.000;18.000;123.000;7.000;46.000;3.000;9.000;4.000;28.000;1.000;9.000;128.000;9.000;46.000;4.000;468.000;342.000;160.000;154.000;137.000;367.000;170.000;197.000;131.000;62.000;69.000;160.000;83.000;77.000;76.000;25.000;51.000;3.000;92.000;222.000;380.000;471.000;266.000;1389.000;3.000;91.000;220.000;372.000;456.000;247.000;1405.000;715.000;690.000;1279.000;641.000;638.000;126.000;74.000;52.000;111.000;98.000;20.000;78.000;13.000;1141.000;130.000;0.000;5.000;3.000;37.000;88.000;1.000;1397.000;8.000;2.000;6.000;0.000;1405.000;25.000;113.000;17.000;10.000;1237.000;3.000
977010101;97701;4;2617.208;320.864;1819.454;476.890;1433.634;164.691;998.886;270.057;1183.574;156.173;820.568;206.833;2279.004;223.469;1715.535;340.000;1295.477;117.082;973.312;205.084;983.527;106.387;742.223;134.916;2231.582;215.544;1684.878;331.160;1271.785;112.118;959.494;200.173;959.797;103.426;725.384;8.915;130.987;14.823;47.422;3.944;7.925;7.917;30.658;2.962;8.840;368.023;4.919;193.708;3.944;446.645;535.325;291.529;225.473;218.301;338.204;138.157;200.047;89.455;44.640;44.815;79.698;41.326;38.372;169.052;52.191;116.861;34.756;469.296;128.652;411.030;614.363;570.368;2183.939;34.756;469.296;128.652;396.151;599.408;555.676;2281.872;1299.425;982.447;1486.845;820.853;665.992;795.026;478.572;316.454;144.380;76.221;18.736;57.485;68.159;1228.657;237.169;0.000;1.972;19.048;504.662;289.382;0.982;2256.193;25.679;0.000;18.789;6.890;2228.426;103.701;29.609;4.922;361.376;1698.908;29.909
977010102;97701;4;2032.102;285.068;1365.424;381.610;1092.542;151.612;746.630;194.300;939.560;133.455;618.794;187.311;1774.508;208.452;1301.755;264.301;994.645;120.789;724.872;148.984;779.863;87.662;576.883;115.317;1743.788;206.472;1279.919;257.396;981.757;120.789;714.937;146.030;762.031;85.683;564.982;5.953;111.366;4.963;30.720;3.951;1.979;2.992;21.836;1.982;6.905;247.320;6.913;76.350;3.966;375.539;428.350;256.120;208.389;182.440;257.594;97.897;159.697;66.689;22.898;43.791;66.001;34.481;31.519;124.905;40.518;84.386;4.997;327.055;138.687;421.830;563.521;428.701;1865.066;4.997;327.055;138.687;421.830;553.677;418.819;1800.968;1007.439;793.529;1151.671;622.988;528.683;649.296;384.451;264.845;117.594;63.402;24.869;38.533;54.192;881.888;263.853;0.000;2.954;2.977;457.490;189.812;1.994;1776.266;24.702;0.000;12.811;11.891;1929.886;116.193;193.820;4.885;522.048;1092.940;0.000
977010103;97701;4;3403.980;494.825;2318.218;590.937;1848.651;254.078;1261.921;332.652;1555.330;240.748;1056.297;258.284;3000.780;379.482;2173.551;447.747;1687.242;197.418;1215.375;274.449;1313.538;182.064;958.176;173.297;2946.382;373.514;2131.037;441.831;1670.402;196.405;1201.519;272.477;1275.980;177.108;929.518;8.862;169.354;12.854;54.398;2.977;5.968;14.800;42.514;3.966;5.915;385.419;6.966;142.575;3.974;490.304;729.901;512.042;356.202;384.335;403.201;161.409;241.792;100.506;43.802;56.704;69.982;36.460;33.522;232.713;81.147;151.566;74.435;550.385;356.427;581.651;826.963;659.816;3014.996;74.435;545.425;356.427;576.729;807.086;654.894;3010.358;1709.787;1300.572;1891.134;1006.713;884.422;1119.224;703.074;416.150;192.033;93.274;16.977;76.297;98.759;1337.203;502.204;0.982;0.000;50.746;850.518;267.724;0.982;2986.582;23.776;0.000;16.833;6.943;3084.170;113.998;191.045;4.922;442.323;2331.881;0.000
978010101;97801;1;2308.958;394.305;1414.403;500.251;1096.079;207.031;653.586;235.462;1212.879;187.274;760.817;264.789;1680.147;171.689;1163.965;344.492;791.274;91.746;531.216;168.312;888.873;79.944;632.749;176.180;1060.416;64.939;758.899;236.578;537.324;38.931;370.344;128.050;523.092;26.008;388.556;171.723;108.528;122.373;619.730;24.941;106.751;11.890;405.066;2.942;107.914;496.117;247.294;109.512;38.569;447.553;345.303;110.313;105.654;65.695;628.811;304.805;324.006;206.909;109.101;97.808;46.850;32.883;13.967;375.052;162.821;212.232;7.169;159.614;71.711;218.433;556.292;414.678;952.744;7.169;132.147;71.711;193.017;314.350;234.350;1143.328;591.592;551.736;858.261;410.471;447.790;285.067;181.121;103.946;163.008;140.463;44.696;95.767;22.545;637.784;205.635;9.389;5.453;0.000;199.147;83.103;2.817;1072.011;71.317;0.000;14.995;56.321;1044.171;83.224;55.191;15.813;49.166;674.466;166.311
978010102;97801;2;1324.119;239.306;773.986;310.827;653.316;122.583;345.403;185.330;670.803;116.723;428.582;125.498;1064.698;114.757;713.557;236.383;528.783;61.691;323.634;143.458;535.914;53.066;389.924;92.925;736.601;60.293;483.452;192.855;411.076;36.260;249.287;125.528;325.525;24.033;234.165;90.630;67.327;87.022;328.097;21.076;54.464;7.883;230.105;0.000;43.528;239.253;81.605;105.745;39.881;241.700;221.080;106.302;72.378;78.241;259.421;124.533;134.888;115.334;54.494;60.840;16.271;14.271;2.000;127.816;55.768;72.048;4.291;146.878;105.291;213.924;259.811;261.220;758.823;4.291;132.661;95.250;190.703;154.001;181.917;777.564;440.110;337.454;573.860;291.806;282.054;203.703;148.303;55.400;91.046;73.420;23.382;50.038;17.625;441.596;131.264;0.000;0.000;1.000;128.354;75.349;0.000;722.475;55.089;0.000;3.580;51.508;798.295;31.796;132.904;5.911;23.774;509.914;93.996
978010103;97801;2;1001.412;157.896;627.641;215.875;467.270;73.479;285.818;107.973;534.142;84.417;341.823;107.902;763.396;69.782;544.140;149.474;374.960;39.255;254.155;81.550;388.436;30.527;289.985;67.924;497.794;34.660;350.024;113.110;255.163;13.405;177.171;64.586;242.631;21.254;172.853;36.726;48.524;55.208;265.602;11.853;35.122;4.692;194.116;0.000;36.364;238.708;127.339;68.030;29.785;151.939;177.061;55.144;46.856;25.658;238.016;92.310;145.706;79.219;34.974;44.244;14.661;6.501;8.161;144.136;50.835;93.301;8.583;65.064;25.809;47.141;236.830;179.159;390.875;8.583;60.773;25.809;31.189;178.207;86.315;518.156;272.707;245.449;418.610;198.303;220.307;99.546;74.404;25.142;80.512;52.668;13.582;39.087;27.843;300.208;111.242;0.000;3.580;3.580;64.555;34.991;0.000;442.805;75.351;0.000;8.634;66.716;411.479;35.979;81.423;6.000;6.970;236.429;44.677
978010104;97801;1;1125.243;182.230;657.601;285.412;521.918;91.071;272.612;158.234;603.326;91.159;384.989;127.178;814.274;53.675;558.775;201.825;390.835;36.393;232.065;122.377;423.440;17.282;326.710;79.447;522.189;38.649;363.447;120.093;261.587;26.185;155.999;79.403;260.601;12.464;207.448;68.017;40.690;37.743;292.086;2.817;15.026;3.000;195.328;0.000;81.731;322.234;160.364;55.604;20.145;178.283;134.456;50.000;50.956;22.741;310.969;131.083;179.886;107.060;51.861;55.199;9.626;5.809;3.817;194.283;73.413;120.870;4.991;59.163;42.129;134.545;321.013;222.631;566.048;3.792;27.858;34.460;130.109;214.166;155.661;547.979;275.328;272.651;476.298;232.072;244.226;71.681;43.257;28.425;80.155;78.266;36.849;41.417;1.889;363.087;101.942;11.269;0.000;0.000;51.418;20.263;0.000;507.688;40.291;0.000;0.000;40.291;591.505;9.787;109.590;4.237;11.822;379.893;76.175
